movie_id,movie_title,movie_genres_str
54,Outbreak (1995),"['unknown', 'Documentary', 'Thriller']"
55,"Professional, The (1994)","['Comedy', 'Documentary', 'Romance', 'Thriller']"
56,Pulp Fiction (1994),"['Comedy', 'Documentary']"
57,Priest (1994),['Documentary']
58,Quiz Show (1994),['Documentary']
59,Three Colors: Red (1994),['Documentary']
60,Three Colors: Blue (1993),['Documentary']
61,Three Colors: White (1994),['Documentary']
62,Stargate (1994),"['unknown', 'Action', 'Sci-Fi']"
63,"Santa Clause, The (1994)","['Animation', ""Children's""]"
64,"Shawshank Redemption, The (1994)",['Documentary']
65,What's Eating Gilbert Grape (1993),"[""Children's"", 'Documentary']"
66,While You Were Sleeping (1995),"[""Children's"", 'Romance']"
67,Ace Ventura: Pet Detective (1994),"[""Children's""]"
68,"Crow, The (1994)","['unknown', 'Romance', 'Thriller']"
69,Forrest Gump (1994),"[""Children's"", 'Romance', 'Western']"
70,Four Weddings and a Funeral (1994),"[""Children's"", 'Romance']"
71,"Lion King, The (1994)","['Adventure', 'Animation', 'Musical']"
72,"Mask, The (1994)","[""Children's"", 'Comedy', 'Drama']"
73,Maverick (1994),"['unknown', ""Children's"", 'unknown']"
74,Faster Pussycat! Kill! Kill! (1965),"['unknown', ""Children's"", 'Documentary']"
75,Brother Minister: The Assassination of Malcolm X (1994),['Crime']
76,Carlito's Way (1993),"['Comedy', 'Documentary']"
77,"Firm, The (1993)","['Documentary', 'Thriller']"
78,Free Willy (1993),"['Action', 'Animation', 'Documentary']"
79,"Fugitive, The (1993)","['unknown', 'Thriller']"
80,Hot Shots! Part Deux (1993),"['unknown', ""Children's"", 'Western']"
81,"Hudsucker Proxy, The (1994)","[""Children's"", 'Romance']"
82,Jurassic Park (1993),"['unknown', 'Action', 'Sci-Fi']"
83,Much Ado About Nothing (1993),"[""Children's"", 'Romance']"
84,Robert A. Heinlein's The Puppet Masters (1994),"['Film-Noir', 'Sci-Fi']"
85,"Ref, The (1994)","[""Children's""]"
86,"Remains of the Day, The (1993)",['Documentary']
87,Searching for Bobby Fischer (1993),['Documentary']
88,Sleepless in Seattle (1993),"[""Children's"", 'Romance']"
89,Blade Runner (1982),"['Fantasy', 'Sci-Fi']"
90,So I Married an Axe Murderer (1993),"[""Children's"", 'Romance', 'Thriller']"
91,"Nightmare Before Christmas, The (1993)","['Animation', ""Children's"", 'Musical']"
92,True Romance (1993),"['unknown', 'Comedy', 'Romance']"
93,Welcome to the Dollhouse (1995),"[""Children's"", 'Documentary']"
94,Home Alone (1990),"['Animation', ""Children's""]"
95,Aladdin (1992),"['Adventure', 'Animation', ""Children's"", 'Musical']"
96,Terminator 2: Judgment Day (1991),"['unknown', 'Sci-Fi', 'Thriller']"
97,Dances with Wolves (1990),"['Action', 'Documentary', 'unknown']"
98,"Silence of the Lambs, The (1991)","['Documentary', 'Thriller']"
99,Snow White and the Seven Dwarfs (1937),"['Adventure', 'Animation', 'Musical']"
100,Fargo (1996),"['Comedy', 'Documentary', 'Thriller']"
101,Heavy Metal (1981),"['unknown', 'Action', 'Adventure', 'Film-Noir', 'Sci-Fi']"
102,"Aristocats, The (1970)","['Adventure', 'Animation']"
103,All Dogs Go to Heaven 2 (1996),"['Adventure', 'Animation', 'Musical']"
104,Theodore Rex (1995),"[""Children's""]"
105,Sgt. Bilko (1996),"[""Children's""]"
106,Diabolique (1996),"['Documentary', 'Thriller']"
107,Moll Flanders (1996),['Documentary']
108,Kids in the Hall: Brain Candy (1996),"[""Children's""]"
109,Mystery Science Theater 3000: The Movie (1996),"[""Children's"", 'Sci-Fi']"
110,Operation Dumbo Drop (1995),"['unknown', 'Action', ""Children's"", 'Western']"
111,"Truth About Cats & Dogs, The (1996)","[""Children's"", 'Romance']"
112,Flipper (1996),"['Action', 'Animation']"
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",['Documentary']
114,Wallace & Gromit: The Best of Aardman Animation (1996),['Adventure']
115,"Haunted World of Edward D. Wood Jr., The (1995)",['Crime']
116,Cold Comfort Farm (1995),"[""Children's""]"
117,"Rock, The (1996)","['unknown', 'Action', 'Thriller']"
118,Twister (1996),"['unknown', 'Action', 'Thriller']"
119,Maya Lin: A Strong Clear Vision (1994),['Crime']
120,Striptease (1996),"[""Children's"", 'Comedy']"
121,Independence Day (ID4) (1996),"['unknown', 'Sci-Fi', 'Western']"
122,"Cable Guy, The (1996)","[""Children's""]"
123,"Frighteners, The (1996)","[""Children's"", 'Film-Noir']"
124,Lone Star (1996),"['Documentary', 'Mystery']"
125,Phenomenon (1996),"['Documentary', 'Romance']"
126,"Spitfire Grill, The (1996)",['Documentary']
127,"Godfather, The (1972)","['unknown', 'Comedy', 'Documentary']"
128,Supercop (1992),"['unknown', 'Thriller']"
129,Bound (1996),"['Comedy', 'Documentary', 'Romance', 'Thriller']"
130,Kansas City (1996),['Comedy']
131,Breakfast at Tiffany's (1961),"['Documentary', 'Romance']"
132,"Wizard of Oz, The (1939)","['Action', 'Animation', 'Documentary', 'Musical']"
133,Gone with the Wind (1939),"['Documentary', 'Romance', 'Western']"
134,Citizen Kane (1941),['Documentary']
135,2001: A Space Odyssey (1968),"['Documentary', 'Mystery', 'Sci-Fi', 'Thriller']"
136,Mr. Smith Goes to Washington (1939),['Documentary']
137,Big Night (1996),['Documentary']
138,D3: The Mighty Ducks (1996),"['Animation', ""Children's""]"
139,"Love Bug, The (1969)","['Animation', ""Children's""]"
140,Homeward Bound: The Incredible Journey (1993),"['Action', 'Animation']"
141,"20,000 Leagues Under the Sea (1954)","['Action', 'Animation', 'Drama', 'Sci-Fi']"
142,Bedknobs and Broomsticks (1971),"['Action', 'Animation', 'Musical']"
143,"Sound of Music, The (1965)",['Musical']
144,Die Hard (1988),"['unknown', 'Thriller']"
145,"Lawnmower Man, The (1992)","['unknown', 'Sci-Fi', 'Thriller']"
146,Unhook the Stars (1996),['Documentary']
147,"Long Kiss Goodnight, The (1996)","['unknown', 'Thriller']"
148,"Ghost and the Darkness, The (1996)","['unknown', 'Action']"
149,Jude (1996),['Documentary']
150,Swingers (1996),"[""Children's"", 'Documentary']"
151,Willy Wonka and the Chocolate Factory (1971),"['Action', 'Animation', ""Children's""]"
152,Sleeper (1973),"[""Children's"", 'Sci-Fi']"
153,"Fish Called Wanda, A (1988)","[""Children's""]"
154,Monty Python's Life of Brian (1979),"[""Children's""]"
155,Dirty Dancing (1987),"['Musical', 'Romance']"
156,Reservoir Dogs (1992),"['Comedy', 'Thriller']"
157,Platoon (1986),"['Documentary', 'Western']"
158,Weekend at Bernie's (1989),"[""Children's""]"
159,Basic Instinct (1992),"['Mystery', 'Thriller']"
160,Glengarry Glen Ross (1992),['Documentary']
161,Top Gun (1986),"['unknown', 'Romance']"
162,On Golden Pond (1981),['Documentary']
163,"Return of the Pink Panther, The (1974)","[""Children's""]"
164,"Abyss, The (1989)","['unknown', 'Action', 'Sci-Fi', 'Thriller']"
165,Jean de Florette (1986),['Documentary']
166,Manon of the Spring (Manon des sources) (1986),['Documentary']
167,Private Benjamin (1980),"[""Children's""]"
168,Monty Python and the Holy Grail (1974),"[""Children's""]"
169,"Wrong Trousers, The (1993)","['Adventure', ""Children's""]"
170,Cinema Paradiso (1988),"[""Children's"", 'Documentary', 'Romance']"
171,Delicatessen (1991),"[""Children's"", 'Sci-Fi']"
172,"Empire Strikes Back, The (1980)","['unknown', 'Action', 'Documentary', 'Romance', 'Sci-Fi', 'Western']"
173,"Princess Bride, The (1987)","['unknown', 'Action', ""Children's"", 'Romance']"
174,Raiders of the Lost Ark (1981),"['unknown', 'Action']"
175,Brazil (1985),['Sci-Fi']
176,Aliens (1986),"['unknown', 'Sci-Fi', 'Thriller', 'Western']"
177,"Good, The Bad and The Ugly, The (1966)","['unknown', 'unknown']"
178,12 Angry Men (1957),['Documentary']
179,"Clockwork Orange, A (1971)",['Sci-Fi']
180,Apocalypse Now (1979),"['Documentary', 'Western']"
181,Return of the Jedi (1983),"['unknown', 'Action', 'Romance', 'Sci-Fi', 'Western']"
182,GoodFellas (1990),"['Comedy', 'Documentary']"
183,Alien (1979),"['unknown', 'Film-Noir', 'Sci-Fi', 'Thriller']"
184,Army of Darkness (1993),"['unknown', 'Action', ""Children's"", 'Film-Noir', 'Sci-Fi']"
185,Psycho (1960),"['Film-Noir', 'Romance', 'Thriller']"
186,"Blues Brothers, The (1980)","['unknown', ""Children's"", 'Musical']"
187,"Godfather: Part II, The (1974)","['unknown', 'Comedy', 'Documentary']"
188,Full Metal Jacket (1987),"['unknown', 'Documentary', 'Western']"
189,"Grand Day Out, A (1992)","['Adventure', ""Children's""]"
190,Henry V (1989),"['Documentary', 'Western']"
191,Amadeus (1984),"['Documentary', 'Mystery']"
192,Raging Bull (1980),['Documentary']
193,"Right Stuff, The (1983)",['Documentary']
194,"Sting, The (1973)","[""Children's"", 'Comedy']"
195,"Terminator, The (1984)","['unknown', 'Sci-Fi', 'Thriller']"
196,Dead Poets Society (1989),['Documentary']
197,"Graduate, The (1967)","['Documentary', 'Romance']"
198,Nikita (La Femme Nikita) (1990),['Thriller']
199,"Bridge on the River Kwai, The (1957)","['Documentary', 'Western']"
200,"Shining, The (1980)",['Film-Noir']
201,Evil Dead II (1987),"['unknown', 'Action', ""Children's"", 'Film-Noir']"
202,Groundhog Day (1993),"[""Children's"", 'Romance']"
203,Unforgiven (1992),['unknown']
204,Back to the Future (1985),"[""Children's"", 'Sci-Fi']"
205,Patton (1970),"['Documentary', 'Western']"
206,Akira (1988),"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
207,Cyrano de Bergerac (1990),"['unknown', 'Documentary', 'Romance']"
208,Young Frankenstein (1974),"[""Children's"", 'Film-Noir']"
209,This Is Spinal Tap (1984),"[""Children's"", 'Documentary', 'Musical']"
210,Indiana Jones and the Last Crusade (1989),"['unknown', 'Action']"
211,M*A*S*H (1970),"[""Children's"", 'Western']"
212,"Unbearable Lightness of Being, The (1988)",['Documentary']
213,"Room with a View, A (1986)","['Documentary', 'Romance']"
214,Pink Floyd - The Wall (1982),"['Documentary', 'Musical', 'Western']"
215,Field of Dreams (1989),['Documentary']
216,When Harry Met Sally... (1989),"[""Children's"", 'Romance']"
217,Bram Stoker's Dracula (1992),"['Film-Noir', 'Romance']"
218,Cape Fear (1991),['Thriller']
219,"Nightmare on Elm Street, A (1984)",['Film-Noir']
220,"Mirror Has Two Faces, The (1996)","[""Children's"", 'Romance']"
221,Breaking the Waves (1996),['Documentary']
222,Star Trek: First Contact (1996),"['unknown', 'Action', 'Sci-Fi']"
223,Sling Blade (1996),"['Documentary', 'Thriller']"
224,Ridicule (1996),['Documentary']
225,101 Dalmatians (1996),"['Animation', ""Children's""]"
226,Die Hard 2 (1990),"['unknown', 'Thriller']"
227,Star Trek VI: The Undiscovered Country (1991),"['unknown', 'Action', 'Sci-Fi']"
228,Star Trek: The Wrath of Khan (1982),"['unknown', 'Action', 'Sci-Fi']"
229,Star Trek III: The Search for Spock (1984),"['unknown', 'Action', 'Sci-Fi']"
230,Star Trek IV: The Voyage Home (1986),"['unknown', 'Action', 'Sci-Fi']"
231,Batman Returns (1992),"['unknown', 'Action', ""Children's"", 'Comedy']"
232,Young Guns (1988),"['unknown', ""Children's"", 'unknown']"
233,Under Siege (1992),['unknown']
234,Jaws (1975),"['unknown', 'Film-Noir']"
235,Mars Attacks! (1996),"['unknown', ""Children's"", 'Sci-Fi', 'Western']"
236,Citizen Ruth (1996),"[""Children's"", 'Documentary']"
237,Jerry Maguire (1996),"['Documentary', 'Romance']"
238,Raising Arizona (1987),"[""Children's""]"
239,Sneakers (1992),"['Comedy', 'Documentary', 'Sci-Fi']"
240,Beavis and Butt-head Do America (1996),"['Adventure', ""Children's""]"
241,"Last of the Mohicans, The (1992)","['unknown', 'Romance', 'Western']"
242,Kolya (1996),"[""Children's""]"
243,Jungle2Jungle (1997),"['Animation', ""Children's""]"
244,Smilla's Sense of Snow (1997),"['unknown', 'Documentary', 'Thriller']"
245,"Devil's Own, The (1997)","['unknown', 'Documentary', 'Thriller', 'Western']"
246,Chasing Amy (1997),"['Documentary', 'Romance']"
247,Turbo: A Power Rangers Movie (1997),"['unknown', 'Action', 'Animation']"
248,Grosse Pointe Blank (1997),"[""Children's"", 'Comedy']"
249,Austin Powers: International Man of Mystery (1997),"[""Children's""]"
250,"Fifth Element, The (1997)","['unknown', 'Sci-Fi']"
251,Shall We Dance? (1996),"[""Children's""]"
252,"Lost World: Jurassic Park, The (1997)","['unknown', 'Action', 'Sci-Fi', 'Thriller']"
253,"Pillow Book, The (1995)","['Documentary', 'Romance']"
254,Batman & Robin (1997),"['unknown', 'Action', 'Comedy']"
255,My Best Friend's Wedding (1997),"[""Children's"", 'Romance']"
256,When the Cats Away (Chacun cherche son chat) (1996),"[""Children's"", 'Romance']"
257,Men in Black (1997),"['unknown', 'Action', ""Children's"", 'Sci-Fi']"
258,Contact (1997),"['Documentary', 'Sci-Fi']"
259,George of the Jungle (1997),"['Animation', ""Children's""]"
260,Event Horizon (1997),"['unknown', 'Mystery', 'Sci-Fi', 'Thriller']"
261,Air Bud (1997),"['Animation', ""Children's""]"
262,In the Company of Men (1997),['Documentary']
263,Steel (1997),['unknown']
264,Mimic (1997),"['Sci-Fi', 'Thriller']"
265,"Hunt for Red October, The (1990)","['unknown', 'Thriller']"
266,Kull the Conqueror (1997),"['unknown', 'Action']"
267,unknown,['War']
268,Chasing Amy (1997),"['Documentary', 'Romance']"
269,"Full Monty, The (1997)","[""Children's""]"
270,Gattaca (1997),"['Documentary', 'Sci-Fi', 'Thriller']"
271,Starship Troopers (1997),"['unknown', 'Action', 'Sci-Fi', 'Western']"
272,Good Will Hunting (1997),['Documentary']
273,Heat (1995),"['unknown', 'Comedy', 'Thriller']"
274,Sabrina (1995),"[""Children's"", 'Romance']"
275,Sense and Sensibility (1995),"['Documentary', 'Romance']"
276,Leaving Las Vegas (1995),"['Documentary', 'Romance']"
277,Restoration (1995),['Documentary']
278,Bed of Roses (1996),"['Documentary', 'Romance']"
279,Once Upon a Time... When We Were Colored (1995),['Documentary']
280,Up Close and Personal (1996),"['Documentary', 'Romance']"
281,"River Wild, The (1994)","['unknown', 'Thriller']"
282,"Time to Kill, A (1996)",['Documentary']
283,Emma (1996),"['Documentary', 'Romance']"
284,Tin Cup (1996),"[""Children's"", 'Romance']"
285,Secrets & Lies (1996),['Documentary']
286,"English Patient, The (1996)","['Documentary', 'Romance', 'Western']"
287,Marvin's Room (1996),['Documentary']
288,Scream (1996),"['Film-Noir', 'Thriller']"
289,Evita (1996),"['Documentary', 'Musical']"
290,Fierce Creatures (1997),"[""Children's""]"
291,Absolute Power (1997),"['Mystery', 'Thriller']"
292,Rosewood (1997),['Documentary']
293,Donnie Brasco (1997),"['Comedy', 'Documentary']"
294,Liar Liar (1997),"[""Children's""]"
295,Breakdown (1997),"['unknown', 'Thriller']"
296,"Promesse, La (1996)",['Documentary']
297,Ulee's Gold (1997),['Documentary']
298,Face/Off (1997),"['unknown', 'Sci-Fi', 'Thriller']"
299,Hoodlum (1997),"['Comedy', 'Documentary', 'Fantasy']"
300,Air Force One (1997),"['unknown', 'Thriller']"
301,In & Out (1997),"[""Children's""]"
302,L.A. Confidential (1997),"['Comedy', 'Fantasy', 'Mystery', 'Thriller']"
303,Ulee's Gold (1997),['Documentary']
304,Fly Away Home (1996),"['Action', 'Animation']"
305,"Ice Storm, The (1997)",['Documentary']
306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)","['Documentary', 'Romance']"
307,"Devil's Advocate, The (1997)","['Comedy', 'Film-Noir', 'Mystery', 'Thriller']"
308,FairyTale: A True Story (1997),"['Animation', 'Documentary', 'Drama']"
309,Deceiver (1997),['Comedy']
310,"Rainmaker, The (1997)",['Documentary']
311,"Wings of the Dove, The (1997)","['Documentary', 'Romance', 'Thriller']"
312,Midnight in the Garden of Good and Evil (1997),"[""Children's"", 'Comedy', 'Documentary', 'Mystery']"
313,Titanic (1997),"['unknown', 'Documentary', 'Romance']"
314,3 Ninjas: High Noon At Mega Mountain (1998),"['unknown', 'Animation']"
315,Apt Pupil (1998),"['Documentary', 'Thriller']"
316,As Good As It Gets (1997),"[""Children's"", 'Documentary']"
317,In the Name of the Father (1993),['Documentary']
318,Schindler's List (1993),"['Documentary', 'Western']"
319,Everyone Says I Love You (1996),"[""Children's"", 'Musical', 'Romance']"
320,Paradise Lost: The Child Murders at Robin Hood Hills (1996),['Crime']
321,Mother (1996),"[""Children's""]"
322,Murder at 1600 (1997),"['Mystery', 'Thriller']"
323,Dante's Peak (1997),"['unknown', 'Thriller']"
324,Lost Highway (1997),['Mystery']
325,Crash (1996),"['Documentary', 'Thriller']"
326,G.I. Jane (1997),"['unknown', 'Documentary', 'Western']"
327,Cop Land (1997),"['Comedy', 'Documentary', 'Mystery']"
328,Conspiracy Theory (1997),"['unknown', 'Mystery', 'Romance', 'Thriller']"
329,Desperate Measures (1998),"['Comedy', 'Documentary', 'Thriller']"
330,187 (1997),['Documentary']
331,"Edge, The (1997)","['Action', 'Thriller']"
332,Kiss the Girls (1997),"['Comedy', 'Documentary', 'Thriller']"
333,"Game, The (1997)","['Mystery', 'Thriller']"
334,U Turn (1997),"['unknown', 'Comedy', 'Mystery']"
335,How to Be a Player (1997),"[""Children's""]"
336,Playing God (1997),"['Comedy', 'Thriller']"
337,"House of Yes, The (1997)","[""Children's"", 'Documentary', 'Thriller']"
338,Bean (1997),"[""Children's""]"
339,Mad City (1997),"['unknown', 'Documentary']"
340,Boogie Nights (1997),['Documentary']
341,Critical Care (1997),"[""Children's""]"
342,"Man Who Knew Too Little, The (1997)","[""Children's"", 'Mystery']"
343,Alien: Resurrection (1997),"['unknown', 'Film-Noir', 'Sci-Fi']"
344,"Apostle, The (1997)",['Documentary']
345,Deconstructing Harry (1997),"[""Children's"", 'Documentary']"
346,Jackie Brown (1997),"['Comedy', 'Documentary']"
347,Wag the Dog (1997),"[""Children's"", 'Documentary']"
348,Desperate Measures (1998),"['Comedy', 'Documentary', 'Thriller']"
349,Hard Rain (1998),"['unknown', 'Thriller']"
350,Fallen (1998),"['unknown', 'Mystery', 'Thriller']"
351,"Prophecy II, The (1998)",['Film-Noir']
352,Spice World (1997),"[""Children's"", 'Musical']"
353,Deep Rising (1998),"['unknown', 'Film-Noir', 'Sci-Fi']"
354,"Wedding Singer, The (1998)","[""Children's"", 'Romance']"
355,Sphere (1998),"['Action', 'Sci-Fi', 'Thriller']"
356,"Client, The (1994)","['Documentary', 'Mystery', 'Thriller']"
357,One Flew Over the Cuckoo's Nest (1975),['Documentary']
358,Spawn (1997),"['unknown', 'Action', 'Sci-Fi', 'Thriller']"
359,"Assignment, The (1997)",['Thriller']
360,Wonderland (1997),['Crime']
361,Incognito (1997),"['Comedy', 'Thriller']"
362,Blues Brothers 2000 (1998),"['unknown', ""Children's"", 'Musical']"
363,Sudden Death (1995),['unknown']
364,Ace Ventura: When Nature Calls (1995),"[""Children's""]"
365,Powder (1995),['Documentary']
366,Dangerous Minds (1995),['Documentary']
367,Clueless (1995),"[""Children's""]"
368,Bio-Dome (1996),"[""Children's""]"
369,Black Sheep (1996),"[""Children's""]"
370,Mary Reilly (1996),"['Documentary', 'Thriller']"
371,"Bridges of Madison County, The (1995)","['Documentary', 'Romance']"
372,Jeffrey (1995),"[""Children's""]"
373,Judge Dredd (1995),"['unknown', 'Action', 'Sci-Fi']"
374,Mighty Morphin Power Rangers: The Movie (1995),"['unknown', 'Animation']"
375,Showgirls (1995),['Documentary']
376,Houseguest (1994),"[""Children's""]"
377,Heavyweights (1994),"['Animation', ""Children's""]"
378,Miracle on 34th Street (1994),['Documentary']
379,Tales From the Crypt Presents: Demon Knight (1995),['Film-Noir']
380,Star Trek: Generations (1994),"['unknown', 'Action', 'Sci-Fi']"
381,Muriel's Wedding (1994),"[""Children's"", 'Romance']"
382,"Adventures of Priscilla, Queen of the Desert, The (1994)","[""Children's"", 'Documentary']"
383,"Flintstones, The (1994)","['Animation', ""Children's""]"
384,Naked Gun 33 1/3: The Final Insult (1994),"[""Children's""]"
385,True Lies (1994),"['unknown', 'Action', ""Children's"", 'Romance']"
386,Addams Family Values (1993),"[""Children's""]"
387,"Age of Innocence, The (1993)",['Documentary']
388,Beverly Hills Cop III (1994),"['unknown', ""Children's""]"
389,Black Beauty (1994),"['Action', 'Animation']"
390,Fear of a Black Hat (1993),"[""Children's""]"
391,Last Action Hero (1993),"['unknown', ""Children's""]"
392,"Man Without a Face, The (1993)",['Documentary']
393,Mrs. Doubtfire (1993),"[""Children's""]"
394,Radioland Murders (1994),"[""Children's"", 'Mystery', 'Romance']"
395,Robin Hood: Men in Tights (1993),"[""Children's""]"
396,Serial Mom (1994),"[""Children's"", 'Comedy', 'Film-Noir']"
397,Striking Distance (1993),['unknown']
398,Super Mario Bros. (1993),"['unknown', 'Action', 'Animation', 'Sci-Fi']"
399,"Three Musketeers, The (1993)","['unknown', 'Action', ""Children's""]"
400,"Little Rascals, The (1994)","['Animation', ""Children's""]"
401,"Brady Bunch Movie, The (1995)","[""Children's""]"
402,Ghost (1990),"[""Children's"", 'Romance', 'Thriller']"
403,Batman (1989),"['unknown', 'Action', 'Comedy', 'Documentary']"
404,Pinocchio (1940),"['Adventure', 'Animation']"
405,Mission: Impossible (1996),"['unknown', 'Action', 'Mystery']"
406,Thinner (1996),"['Film-Noir', 'Thriller']"
407,Spy Hard (1996),"[""Children's""]"
408,"Close Shave, A (1995)","['Adventure', ""Children's"", 'Thriller']"
409,Jack (1996),"[""Children's"", 'Documentary']"
410,Kingpin (1996),"[""Children's""]"
411,"Nutty Professor, The (1996)","[""Children's"", 'Drama', 'Romance', 'Sci-Fi']"
412,"Very Brady Sequel, A (1996)","[""Children's""]"
413,Tales from the Crypt Presents: Bordello of Blood (1996),['Film-Noir']
414,My Favorite Year (1982),"[""Children's""]"
415,"Apple Dumpling Gang, The (1975)","['Animation', ""Children's"", 'unknown']"
416,Old Yeller (1957),"['Animation', 'Documentary']"
417,"Parent Trap, The (1961)","['Animation', 'Documentary']"
418,Cinderella (1950),"['Adventure', 'Animation', 'Musical']"
419,Mary Poppins (1964),"['Animation', ""Children's"", 'Musical']"
420,Alice in Wonderland (1951),"['Adventure', 'Animation', 'Musical']"
421,William Shakespeare's Romeo and Juliet (1996),"['Documentary', 'Romance']"
422,Aladdin and the King of Thieves (1996),"['Adventure', 'Animation', ""Children's""]"
423,E.T. the Extra-Terrestrial (1982),"['Animation', 'Documentary', 'Drama', 'Sci-Fi']"
424,Children of the Corn: The Gathering (1996),['Film-Noir']
425,Bob Roberts (1992),"[""Children's""]"
426,"Transformers: The Movie, The (1986)","['unknown', 'Adventure', 'Animation', 'Sci-Fi', 'Thriller', 'Western']"
427,To Kill a Mockingbird (1962),['Documentary']
428,Harold and Maude (1971),"[""Children's""]"
429,"Day the Earth Stood Still, The (1951)","['Documentary', 'Sci-Fi']"
430,Duck Soup (1933),"[""Children's"", 'Western']"
431,Highlander (1986),"['unknown', 'Action']"
432,Fantasia (1940),"['Adventure', 'Animation', 'Musical']"
433,Heathers (1989),"[""Children's""]"
434,Forbidden Planet (1956),['Sci-Fi']
435,Butch Cassidy and the Sundance Kid (1969),"['unknown', ""Children's"", 'unknown']"
436,"American Werewolf in London, An (1981)",['Film-Noir']
437,Amityville 1992: It's About Time (1992),['Film-Noir']
438,Amityville 3-D (1983),['Film-Noir']
439,Amityville: A New Generation (1993),['Film-Noir']
440,Amityville II: The Possession (1982),['Film-Noir']
441,"Amityville Horror, The (1979)",['Film-Noir']
442,"Amityville Curse, The (1990)",['Film-Noir']
443,"Birds, The (1963)",['Film-Noir']
444,"Blob, The (1958)","['Film-Noir', 'Sci-Fi']"
445,"Body Snatcher, The (1945)",['Film-Noir']
446,Burnt Offerings (1976),['Film-Noir']
447,Carrie (1976),['Film-Noir']
448,"Omen, The (1976)",['Film-Noir']
449,Star Trek: The Motion Picture (1979),"['unknown', 'Action', 'Sci-Fi']"
450,Star Trek V: The Final Frontier (1989),"['unknown', 'Action', 'Sci-Fi']"
451,Grease (1978),"[""Children's"", 'Musical', 'Romance']"
452,Jaws 2 (1978),"['unknown', 'Film-Noir']"
453,Jaws 3-D (1983),"['unknown', 'Film-Noir']"
454,Bastard Out of Carolina (1996),['Documentary']
455,Jackie Chan's First Strike (1996),['unknown']
456,Beverly Hills Ninja (1997),"['unknown', ""Children's""]"
457,Free Willy 3: The Rescue (1997),"['Action', 'Animation', 'Documentary']"
458,Nixon (1995),['Documentary']
